iter	Logloss
0	0.6062758996
1	0.5393350214
2	0.4872077652
3	0.4481604389
4	0.4183830014
5	0.3953822417
6	0.3780122231
7	0.365409925
8	0.3543861981
9	0.3449722458
10	0.338120846
11	0.3318798216
12	0.3276756675
13	0.3232270997
14	0.3198284856
15	0.3170838349
16	0.3142787884
17	0.3129997037
18	0.311392948
19	0.3096043073
20	0.3082879768
21	0.3074989072
22	0.3065393912
23	0.3053948269
24	0.3041117425
25	0.3032498396
26	0.3022817075
27	0.3015993054
28	0.3007185705
29	0.3001171774
30	0.2994494037
31	0.2987124507
32	0.2981945969
33	0.2974763886
34	0.2969207469
35	0.2962682187
36	0.2957212882
37	0.2950330617
38	0.294630867
39	0.2941907529
40	0.2935138717
41	0.2929523163
42	0.2924616459
43	0.2921551524
44	0.2918563083
45	0.2914484095
46	0.2910725637
47	0.2907035691
48	0.2903192892
49	0.2899341685
50	0.2897226861
51	0.2891131881
52	0.2888284542
53	0.288467519
54	0.2881546644
55	0.2876228309
56	0.2872541118
57	0.2864530114
58	0.2862297913
59	0.2861324645
60	0.2855338692
61	0.2853194155
62	0.2850081307
63	0.2847790384
64	0.2844707923
65	0.284041114
66	0.2837041536
67	0.2834163607
68	0.2829005806
69	0.2826596151
70	0.2824280703
71	0.2820032812
72	0.2817026856
73	0.2812700019
74	0.2810374183
75	0.2806885481
76	0.2805196603
77	0.2802935786
78	0.2799670735
79	0.2794827685
80	0.2791885308
81	0.2789766394
82	0.2786594668
83	0.2784671292
84	0.2780210606
85	0.2777036477
86	0.277335039
87	0.2768609515
88	0.2766165621
89	0.2762172054
90	0.2760220659
91	0.2755482634
92	0.2753053465
93	0.2750250965
94	0.2748483203
95	0.2748048812
96	0.2745387609
97	0.2743727551
98	0.2741338144
99	0.2736709164
100	0.2732717319
101	0.2731501669
102	0.2729351814
103	0.2725938493
104	0.2723526947
105	0.2719878889
106	0.2715282617
107	0.2714300168
108	0.2710207114
109	0.2707210482
110	0.270394471
111	0.2701163046
112	0.2697816552
113	0.2696668793
114	0.2693501987
115	0.2689876307
116	0.2685801207
117	0.2682312135
118	0.2680029991
119	0.2675090133
120	0.2671890917
121	0.266814671
122	0.2664795974
123	0.2660623499
124	0.2656815106
125	0.2653995887
126	0.2649738348
127	0.2646399283
128	0.2641920864
129	0.2637701678
130	0.2635785485
131	0.2630964993
132	0.262752465
133	0.2624034473
134	0.2620513499
135	0.261761465
136	0.2613946577
137	0.2608772929
138	0.2606440738
139	0.2603980121
140	0.2599370923
141	0.2596196043
142	0.2593180392
143	0.2590382542
144	0.2588875113
145	0.2584278132
146	0.2579847664
147	0.2577971081
148	0.2571907742
149	0.2570369516
150	0.2566802967
151	0.2563483476
152	0.2561148214
153	0.2559292276
154	0.2556138873
155	0.2553187176
156	0.2549275715
157	0.2548065511
158	0.2544427236
159	0.2543636441
160	0.254312597
161	0.254171199
162	0.2538234297
163	0.2534435184
164	0.2532146709
165	0.2528839224
166	0.2525320572
167	0.2520528857
168	0.2519451998
169	0.251528005
170	0.2510357381
171	0.2506046543
172	0.2501696016
173	0.2498919446
174	0.2496616007
175	0.2493572787
176	0.2489502755
177	0.2486069821
178	0.2484286411
179	0.2481580204
180	0.2478695632
181	0.2475771603
182	0.2472487134
183	0.2468535272
184	0.2465158799
185	0.2462814037
186	0.2459630707
187	0.2458418056
188	0.2455566174
189	0.2452036961
190	0.2446780023
191	0.2444146105
192	0.2441597268
193	0.2441007172
194	0.2438292537
195	0.243477176
196	0.2432868348
197	0.2429279543
198	0.2426317612
199	0.2421841785
200	0.2418570537
201	0.241735545
202	0.2414613758
203	0.2409925836
204	0.2406353066
205	0.2404569946
206	0.2400676777
207	0.2396388958
208	0.2392620702
209	0.2389618302
210	0.2386960105
211	0.2383060928
212	0.2380293493
213	0.2377097533
214	0.2374191139
215	0.2370371805
216	0.2367138776
217	0.2364405053
218	0.2361633417
219	0.2360212711
220	0.2357540616
221	0.2354548374
222	0.2351574732
223	0.2348814807
224	0.2345860186
225	0.2343576635
226	0.2340245385
227	0.2337238136
228	0.233443405
229	0.233143621
230	0.2329153775
231	0.2326195057
232	0.2322335723
233	0.2319964882
234	0.2317230334
235	0.2314394394
236	0.2314167787
237	0.2311535106
238	0.2308340186
239	0.230561656
240	0.2303296774
241	0.2300152651
242	0.2297770776
243	0.2296041231
244	0.2293219513
245	0.2289095098
246	0.2286561335
247	0.2284210666
248	0.2281302685
249	0.2277250492
250	0.2274044442
251	0.2272426955
252	0.2269249129
253	0.2266180303
254	0.2262864298
255	0.2260239781
256	0.2256806869
257	0.2252909707
258	0.225134496
259	0.2247946255
260	0.2245772829
261	0.2244148143
262	0.2242218321
263	0.2238388395
264	0.223496248
265	0.2233870352
266	0.2232040592
267	0.2229543785
268	0.2226123408
269	0.2223504991
270	0.2220425002
271	0.2216764521
272	0.2213352101
273	0.2210782786
274	0.2207807503
275	0.2205971471
276	0.2203812718
277	0.2201543236
278	0.219991635
279	0.2196562612
280	0.2194160057
281	0.219116097
282	0.2188577885
283	0.2185390215
284	0.2181746615
285	0.2179968394
286	0.2176404598
287	0.2173858623
288	0.21701825
289	0.2168218269
290	0.2166226267
291	0.2162865559
292	0.2160437377
293	0.2158232803
294	0.2154781986
295	0.2152845604
296	0.2149522477
297	0.2145789118
298	0.2143048885
299	0.2140393407
300	0.2137759216
301	0.2134170218
302	0.2132257849
303	0.2130360616
304	0.2130272537
305	0.2128055599
306	0.2126043716
307	0.2124209722
308	0.2121888401
309	0.211920725
310	0.2115991401
311	0.2113327777
312	0.211100846
313	0.2109022705
314	0.210636122
315	0.2103251447
316	0.2101206286
317	0.2099387572
318	0.209796264
319	0.2095852825
320	0.2093137911
321	0.2090314445
322	0.2087973246
323	0.2085202785
324	0.208256995
325	0.2080718239
326	0.2077986093
327	0.2075541831
328	0.2072993224
329	0.207081608
330	0.2068682247
331	0.206658621
332	0.206461143
333	0.2061603108
334	0.2058996203
335	0.2057226207
336	0.2055596347
337	0.2054157065
338	0.2052331924
339	0.2050070008
340	0.2047644554
341	0.2046396036
342	0.2044382483
343	0.2041038453
344	0.2037834395
345	0.203669371
346	0.2033958216
347	0.2031309675
348	0.2030323485
349	0.2028896901
350	0.202629148
351	0.2023691417
352	0.202158843
353	0.2019050218
354	0.2017254307
355	0.2015077658
356	0.2013217741
357	0.2010748938
358	0.2009289356
359	0.2006185158
360	0.2003475354
361	0.2000154143
362	0.1997319516
363	0.199520643
364	0.1993579171
365	0.1991347463
366	0.1989664812
367	0.1987188568
368	0.1985208258
369	0.1982174151
370	0.197937009
371	0.19783963
372	0.1975958148
373	0.1973588163
374	0.1971542969
375	0.1970312696
376	0.1967895057
377	0.1965762193
378	0.1963593052
379	0.1962325445
380	0.1960817974
381	0.1958550553
382	0.1956606536
383	0.1954026646
384	0.1951137479
385	0.194960331
386	0.1947639854
387	0.1946063646
388	0.1943576121
389	0.194083109
390	0.1938241008
391	0.1936162682
392	0.1933240819
393	0.1931637795
394	0.192916634
395	0.1927683446
396	0.1926052186
397	0.1923265691
398	0.1921255666
399	0.1917033292
400	0.1915603429
401	0.19145114
402	0.1912967148
403	0.1910740359
404	0.1908556101
405	0.1906124368
406	0.1903591193
407	0.1901502196
408	0.189998835
409	0.1897264572
410	0.1894324645
411	0.1891380915
412	0.1889626683
413	0.188832908
414	0.1885229191
415	0.1883577765
416	0.1883138857
417	0.1881039255
418	0.187865179
419	0.1877412116
420	0.1875102634
421	0.1873670875
422	0.187108259
423	0.1868717675
424	0.1866613484
425	0.1865689069
426	0.1862781362
427	0.1860510114
428	0.185772019
429	0.1855764167
430	0.1853523717
431	0.1852337782
432	0.1849811049
433	0.1848491503
434	0.1846676196
435	0.1844677087
436	0.1843976943
437	0.1842894503
438	0.1842384161
439	0.1839934106
440	0.1837990625
441	0.1835643843
442	0.1834149758
443	0.1831550474
444	0.1829637399
445	0.1827951236
446	0.1826341273
447	0.1825126707
448	0.1823788481
449	0.1821936771
450	0.1820201363
451	0.1817582393
452	0.1815754261
453	0.1814524696
454	0.1813718372
455	0.1810487668
456	0.1808477438
457	0.1806099281
458	0.1803970695
459	0.1802673492
460	0.1800774468
461	0.1798898615
462	0.1795605833
463	0.1793493958
464	0.178994112
465	0.1787419423
466	0.1784545103
467	0.1781328144
468	0.1779547725
469	0.1777651182
470	0.1775372838
471	0.1773731756
472	0.1771602674
473	0.1769195321
474	0.176730937
475	0.1765731833
476	0.1764228091
477	0.1760519303
478	0.1758558897
479	0.1755992743
480	0.1753444518
481	0.1750682554
482	0.1749213993
483	0.1746412233
484	0.1744195788
485	0.1742624261
486	0.1740799418
487	0.1739170606
488	0.1736733009
489	0.1735554989
490	0.1733725615
491	0.1732050982
492	0.1729524087
493	0.1729379834
494	0.1727489265
495	0.1726011687
496	0.1724215508
497	0.172257758
498	0.1720757365
499	0.1718975454
500	0.1716899326
501	0.1714867914
502	0.1713345758
503	0.1711997042
504	0.1709891065
505	0.1708041977
506	0.1705467753
507	0.1703675345
508	0.1701566785
509	0.1699817749
510	0.1697967539
511	0.1696399025
512	0.1694514311
513	0.1692504448
514	0.1689885938
515	0.1688304463
516	0.168682974
517	0.1683719013
518	0.1681411088
519	0.1680140644
520	0.1678036557
521	0.1676352093
522	0.167449002
523	0.1672943858
524	0.1671325571
525	0.1669861894
526	0.1668500081
527	0.1666304114
528	0.1664713777
529	0.1663675087
530	0.1662283808
531	0.1659633825
532	0.1657882898
533	0.1656203402
534	0.1654606649
535	0.1652626764
536	0.1650504586
537	0.1648918756
538	0.1647115168
539	0.164575702
540	0.164401984
541	0.1642336097
542	0.1641455745
543	0.1639867574
544	0.1638718094
545	0.1637378099
546	0.1635662902
547	0.1634347832
548	0.1632319681
549	0.1631047031
550	0.162952295
551	0.1627784646
552	0.1625912891
553	0.1623224009
554	0.1622655872
555	0.162108108
556	0.1619423253
557	0.1617098593
558	0.1615767194
559	0.1614843315
560	0.1613324696
561	0.1611261641
562	0.1609015627
563	0.1606644439
564	0.1605759171
565	0.1604287184
566	0.1603116239
567	0.1601236031
568	0.1599640088
569	0.1597747192
570	0.1595870802
571	0.1593221348
572	0.1591809353
573	0.1589855228
574	0.1588656342
575	0.158676631
576	0.1584561743
577	0.1583311309
578	0.1581573037
579	0.1580400446
580	0.1577776338
581	0.1576423933
582	0.1574208759
583	0.1572208022
584	0.1569512338
585	0.1567306104
586	0.1565467081
587	0.1563742563
588	0.1562342797
589	0.1560768957
590	0.1559753029
591	0.1558540378
592	0.1556362928
593	0.1555157129
594	0.1554219888
595	0.1552671819
596	0.1551084468
597	0.1549380715
598	0.1548714106
599	0.1546900435
600	0.1545949415
601	0.1544704033
602	0.1542161466
603	0.1540661254
604	0.1538347051
605	0.15366089
606	0.1535952803
607	0.1534585274
608	0.1532437486
609	0.1531314544
610	0.1529037843
611	0.1527439208
612	0.15264492
613	0.1524352203
614	0.152289085
615	0.1521351201
616	0.1518879558
617	0.1516846279
618	0.1514015741
619	0.1512395794
620	0.1510761015
621	0.1509768275
622	0.1508314922
623	0.1505616505
624	0.1504722094
625	0.1502623462
626	0.1501138971
627	0.1499774144
